2-Hydroxybutyric acid;2-Hydroxybutyric acid
3,6-Anhydroglucose;3,6-Anhydroglucose
Alanine;Alanine
alfa...Ketoglutaric.acid;alpha-Ketoglutaric acid
Allantoin;Allantoin
Arabinose;Arabinose
Ascorbic acid;Ascorbic acid
Asparagine;Asparagine
Aspartic.acid;Aspartate
Benzoic acid;Benzoic acid
Benzoic.acid;Benzoic acid
Cellobiose;Cellobiose
Citric acid;Citric acid
Citric.acid;Citric acid
D-Fructose;Fructose
D-Glucose;Glucose
D-Glucuronic acid;Glucuronic acid
D-Glutamic acid;Glutamic acid
D-Mannose;Mannose
D-Xylose;Xylose
Ethanolamine;Ethanolamine
Ferulic.acid;Ferulic acid
Fructose;Fructose
Fructose 6-phosphate;Fructose 6-phosphate
Fructose.6.phosphate;Fructose 6-phosphate
Fructose.BP;Fructose
Fumaric acid;Fumaric acid
Fumaric.acid;Fumaric acid
GABA;gamma-Aminobutyric acid
Galactaric.acid;Galactaric acid
Galactinol;Galactinol
Galactosylglycerol;Galactosylglycerol
Galacturonic.acid;Galacturonic acid
Gamma-Aminobutyric acid;gamma-Aminobutyric acid
Gluconic acid;Gluconic acid
Gluconic.acid;Gluconic acid
Glucose;Glucose
Glucose 6-phosphate;Glucose 6-phosphate
Glutamic.acid;Glutamate
Glutamine;Glutamine
Glutaric acid;Glutaric acid
Glyceric acid;Glyceric acid
Glyceric.acid;Glyceric acid
Glycerol;Glycerol
Glycerol.3.phosphate;Glycerol 3-phosphate
Glycine;Glycine
Glycolic acid;Glycolic acid
Glycolic.acid;Glycolic acid
Glycopyranose;Glucopyranose
Hexanoate;Hexanoate
hexanoic.acid;Hexanoate
hexonic.acid;Gluconic acid
Hydroxylamine;Hydroxylamine
Hydroxyproline;Hydroxyproline
Isoleucine;Isoleucine
lactose;Lactose
L-Arabinose;Arabinose
L-Asparagine;Asparagine
L-Aspartic acid;Aspartic acid
Leucine;Leucine
L-Glutamine;Glutamine
L-Isoleucine;Isoleucine
L-Lysine;Lysine
L-Methionine;Methionine
L-Phenylalanine;Phenylalanine
L-Proline;Proline
L-Serine;Serine
L-Threonine;Threonine
L-Tyrosine;Tyrosine
L-Valine;Valine
L-Xylofuranose;Xylofuranose
Lysine;Lysine
Malic acid;Malic acid
Malic.acid;Malic acid
Malonic.acid;Malonic acid
Maltose;Maltose
Mannose;Mannose
Methylamine;Methylamine
Myo.inositol;Myo-inositol
Myoinositol;Myo-inositol
N.Acetylglutamic.acid;N-Acetyl-L-glutamic acid
N-Acetylglutamic acid;N-Acetyl-L-glutamic acid
Nicotinic acid;Nicotinic acid
Nicotinic.acid;Nicotinic acid
Nonanoic.acid;Nonanoic acid
oxalic.acid;Oxalic acid
Oxoglutaric acid;Oxoglutaric acid
Pentonic.acid;Pentonate
Phenylalanine.2tms;Phenylalanine
Phosphoric acid;Phosphoric acid
Phosphoric.acid;Phosphoric acid
Proline;Proline
Putrescine;Putrescine
Pyroglutamic acid;Pyroglutamic acid
Pyroglutamic.acid;Pyroglutamic acid
Pyruvic acid;Pyruvic acid
Pyruvic.acid;Pyruvic acid
Quinic.acid;Quinic acid
Raffinose;Raffinose
Salicilyc.acid;Salicylic acid
Serine.2tms;Serine
Sinapate;Sinapate
Sorbitol;Sorbitol
Succinic acid;Succinic acid
Succinic.acid;Succinic acid
Sucrose;Sucrose
Tagatose;Tagatose
Threitol;Threitol
Threonic acid;Threonate
Threonic.acid;Threonate
Threonine;Threonine
threose;Threose
Trehalose;Trehalose
Urea;Urea
Valeric acid;Valerate
Valine;Valine
X1.6.Anhydroglucose;3,6-Anhydroglucose
X2.Hydroxyglutaric.acid;2-Hydroxyglutarate
X4.Hydroxybutanoic.acid;4-Hydroxybutanoate
Xilitol;Xylitol
X1.Methyl.alpha.D.glucopyranoside;1-Methyl-alpha-D-glucopyranoside
Digalactosylglycerol;digalactosylglycerol
Sorbitol.galactitol;Sorbitolgalactitol
Trans.Sinapinic.;Trans-sinapic acid
Tyrosine;Tyrosine
